conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97902800-f9e0-4a73-8826-6cc42f874a18,logística ecológica,released,knowledge,cross-sector,logística respetuosa con el medio ambiente | logística verde,Los enfoques y las actividades destinados a minimizar el impacto ecológico de las actividades logísticas.,http://data.europa.eu/esco/isced-f/0413 | http://data.europa.eu/esco/skill/e843973c-23dd-416a-8a9c-9e89512542fb,gestión y administración | logística
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97b473ae-8535-498d-9999-cc77549c5e50,encontrar una fuente adecuada para las bombas de calor,released,skill/competence,sector-specific,,"Identificar las fuentes de calor y energía disponibles al elegir entre varios tipos de fuentes de calor existentes, teniendo en cuenta la influencia que ejerce la temperatura de la fuente en la eficiencia energética.
	",http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,desarrollar objetivos y estrategias
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/982ccb23-102c-4d7a-a899-4df50a032def,instalar sistemas de energía solar concentrada,released,skill/competence,occupation-specific,instalar sistemas fotovoltaicos | establecer sistemas de energía solar concentrada | montar sistemas de energía solar concentrada,"Instalar sistemas que utilicen materiales reflectantes, como lentes y espejos, y sistemas de seguimiento para concentrar la luz solar en un haz, que alimenta una planta de energía eléctrica a través de su generación de calor.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"instalar equipos de calefacción, ventilación y aire acondicionado"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/988f696e-01c9-4aa5-b024-4aa96505ee0c,operar equipos de calentamiento de agua,released,skill/competence,sector-specific,operar equipos de calefacción,"Operar equipos de calentamiento de agua, como equipos eléctricos, intercambiadores térmicos, bombas de calor y calentadores solares.",http://data.europa.eu/esco/skill/8bf9699c-f964-4e4b-ac3d-55aface09cbc,manejar equipos de producción o distribución de energía
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9920e559-e66c-44a8-b853-bf5c66f123fe,supervisar sistemas de biofiltro,released,skill/competence,occupation-specific,,"Supervisar los sistemas de biofiltro empleados para controlar la contaminación atmosférica y del agua.
	",http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,instalar componentes de madera y de metal
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/995f7d9c-45c9-4622-b704-739982ff9070,desarrollo de una cuenca fluvial,released,knowledge,sector-specific,métodos de desarrollo de una cuenca fluvial | técnicas de desarrollo de una cuenca fluvial | metodología de desarrollo de una cuenca fluvial,"El estudio de las características pertinentes de una cuenca hidrográfica que tiene como objetivo la distribución sostenible de sus recursos y el proceso de creación y puesta en marcha de planes, programas y proyectos para apoyar y mejorar las funciones de las cuencas hidrográficas que afectan a las comunidades vegetales, animales y humanas que habitan en una cuenca determinada.",http://data.europa.eu/esco/isced-f/0732,construcción e ingeniería civil
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9a354775-1a03-4258-a357-be4ab0a07465,construir cubierta vegetal,released,skill/competence,sector-specific,construir cubierta verde | construir techo vegetal | armar techo verde | montar techo ecológico | construir tejado verde,"Establecer vegetación en los tejados, teniendo en cuenta el agua y el drenaje, los filtros y el suelo. Plantar hierbas adecuadas, y posiblemente arbustos y árboles. Establecer la cubierta vegetal con respecto a las normas de salud y seguridad.",http://data.europa.eu/esco/skill/b2c688b0-9106-466d-8b88-eafdfe608e7d,diseñar estructuras o instalaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9b242812-7d88-4219-bac7-1195ecc4db51,sistemas de recirculación,released,knowledge,sector-specific,tipos de sistemas de recirculación | características y funcionamiento de los sistemas de recirculación | características y funcionamiento de los diferentes tipos de sistemas de recirculación,"Las características y el funcionamiento de sistemas complejos de circulación, aireación y biofiltro.",http://data.europa.eu/esco/isced-f/0732,construcción e ingeniería civil
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9b5aa426-7daa-4143-8d70-c3623e8c7e60,diseñar sistemas de ventanas y acristalamiento,released,skill/competence,sector-specific,,"Diseñar sistemas de ventanas y acristalamiento para un confort y un rendimiento energético óptimos. Evaluar y diseñar sistemas de protección solar óptimos y su estrategia de control.
	",http://data.europa.eu/esco/skill/883eab8c-d8a6-4e8b-9b11-7d9001e172ab,diseñar sistemas y productos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9be02d2d-9d45-400b-aa05-1e9aee7bd815,"generación de energía con miniturbinas eólicas ",released,knowledge,sector-specific,generador eólico | producción de energía eólica a pequeña escala,"Miniturbinas eólicas para la producción de energía in situ (en tejados, etc.) y su contribución al rendimiento energético.
	",http://data.europa.eu/esco/skill/25fb676a-cf69-487d-a9c1-273c6f291b6a | http://data.europa.eu/esco/isced-f/0713,energía eólica | electricidad y energía
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9c07b3e2-b919-4594-b6f2-e01df6e9390f,diseñar microclimas en edificios,released,skill/competence,sector-specific,,"Analizar y evaluar las condiciones climáticas y locales sobre el terreno para la aplicación de estrategias pasivas óptimas (microclima y macroclima). Combinar varias estrategias de diseño, entre ellas las principales estrategias de diseño pasivo, y evaluar su funcionamiento como concepto energético para todo un edificio.
	",http://data.europa.eu/esco/skill/883eab8c-d8a6-4e8b-9b11-7d9001e172ab,diseñar sistemas y productos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ccb56ee-3d5f-4d48-8692-8f96fe1e4adb,sistema de refrigeración solar por absorción,released,knowledge,sector-specific,enfriamiento por absorción solar | refrigeración por absorción solar,"La refrigeración solar por absorción es un sistema de refrigeración activado por calor basado en un proceso de absorción. Contribuye al rendimiento energético.
	",http://data.europa.eu/esco/isced-f/0713,electricidad y energía
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9cf2856d-0375-4ec3-a51f-7f9c82119859,mantener sistemas de energía solar,released,skill/competence,cross-sector,mantener paneles solares | mantenimiento de sistemas de energía solar | realizar tareas de mantenimiento de paneles fotovoltaicos | evaluar el rendimiento de paneles fotovoltaicos | limpiar paneles solares,"Probar el rendimiento de los paneles solares, leer los medidores para verificar los indicadores de electricidad, identificar y solucionar averías y limpiar los paneles si es necesario.",http://data.europa.eu/esco/skill/ab75d510-ac75-482d-b671-bb3bad741f07 | http://data.europa.eu/esco/skill/ec0401f1-f690-46be-934b-f6f5611085f5,"realizar mediciones relacionadas con el trabajo | mantener aparatos eléctricos, electrónicos y de precisión"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9d04490c-cea5-4765-a15e-99c46b543c1d,coordinar el envío de materiales reciclables,released,skill/competence,cross-sector,programar el envío de materiales reciclables | organizar el envío de materiales reciclables,Coordinar y supervisar los envíos de materiales reciclables. Comunicarse con las empresas de procesamiento y los agentes marítimos.,http://data.europa.eu/esco/skill/40f27736-0d98-4446-8234-11646e4f4bc3 | http://data.europa.eu/esco/skill/cfd5ab8f-ef8a-4877-8243-ddf17ac74604,supervisar la logística de productos terminados | planificar actos y programas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9d3490b2-a0e6-415b-81a4-a3a4a63268b0,proteger la fitosanidad,released,skill/competence,sector-specific,aplicar técnicas de jardinería sostenible | aplicar cuidados fitosanitarios,Controlar y apoyar la fitosanidad en su conjunto. Practicar técnicas de jardinería sostenibles y la gestión integrada de plagas en jardines tanto exteriores como interiores.,http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,cultivar terrenos y plantar cultivos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9d75efb9-0c77-4f86-b5e7-99100808564a,sanidad vegetal,released,knowledge,cross-sector,control de las plagas en los vegetales | control de las plagas en las plantas | control de las plagas en la producción vegetal,"Tipos y características de plagas en plantas y cultivos. Distintos tipos de métodos de control de plagas, actividades que utilizan métodos convencionales o biológicos teniendo en cuenta el tipo de plantas o cultivos, las condiciones ambientales y climáticas y la normativa en materia de salud y seguridad. Almacenamiento y manipulación de los productos.",http://data.europa.eu/esco/isced-f/0811,producción agrícola y ganadera
